Stock codes;Year;Publication date;PDF location in old library system;DOI
sho.27.89a;2019;08/10/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/sho.27.89a.pdf;https://doi.org/10.17895/ices.advice.4845
sho.27.89a;2021;01/10/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/sho.27.89a.pdf;https://doi.org/10.17895/ices.advice.7857
sol.27.20-24;2017;30/06/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/sol.27.20-24.pdf;https://doi.org/10.17895/ices.pub.3229
sol.27.20-24;2018;29/06/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/sol.27.20-24.pdf;https://doi.org/10.17895/ices.pub.4470
sol.27.20-24;2019;24/06/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/sol.27.20-24.pdf;https://doi.org/10.17895/ices.advice.4753
sol.27.20-24;2020;25/06/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/sol.27.20-24.pdf;https://doi.org/10.17895/ices.advice.5854
sol.27.20-24;2021;30/06/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/sol.27.20-24.pdf;https://doi.org/10.17895/ices.advice.7858
sol.27.4;2017;14/11/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/sol.27.4.pdf;https://doi.org/10.17895/ices.pub.3528
sol.27.4;2017;14/11/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/sol.27.4_replaced.pdf;https://doi.org/10.17895/ices.pub.3230
sol.27.4;2018;29/06/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/sol.27.4.pdf;https://doi.org/10.17895/ices.pub.4458
