StockKeyLabel,AssessmentYear,AssessmentKey,StockDatabaseID,StockKey,FLim,Fpa,Bpa,Blim,FMSY,MSYBtrigger,Fmanagement,Bmanagement,RecruitmentAge,RecruitmentLength
rjm.27.8,2020,13892,2420,169221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjm.27.9a,2020,13870,2421,169222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjn.27.3a4,2019,13022,2271,169223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjn.27.678abd,2020,13893,2546,169224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjn.27.8c,2020,13897,2547,169225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjn.27.9a,2020,13813,2422,169226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rjr.27.23a4,2019,13024,2272,169227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rju.27.7bj,2020,13896,2533,169228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rju.27.7de,2020,13899,2423,169232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rju.27.8ab,2020,13872,2526,169229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rju.27.8c,2020,13801,2527,169230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rju.27.9a,2020,13840,2528,169231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rng.27.1245a8914ab,2019,12718,2187,169236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rng.27.3a,2020,13465,2426,169235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rng.27.5a10b12ac14b,2019,12629,2184,169233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rng.27.5b6712b,2020,13407,2425,169234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sal.27.22-31,2019,12871,2339,169241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sal.27.32,2020,13453,2601,169242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
san.27.6a,2018,9877,1704,169253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
san.sa.1r,2020,13303,2431,169246,NA,NA,145000,110000,NA,NA,NA,NA,0,NA
san.sa.2r,2020,13301,2432,169247,NA,NA,84000,56000,NA,NA,NA,NA,0,NA
san.sa.3r,2020,13298,2433,169248,NA,NA,129000,80000,NA,NA,NA,NA,0,NA
san.sa.4,2020,13304,2434,169249,NA,NA,102000,48000,NA,NA,NA,NA,0,NA
san.sa.5r,2019,10310,2195,169250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
san.sa.6,2019,10311,2196,169251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
san.sa.7r,2019,10312,2197,169252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sbr.27.10,2020,13713,2460,169258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sbr.27.6-8,2020,13405,2458,169256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sbr.27.9,2020,13714,2459,169257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sck.27.nea,2019,13049,2221,169259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sdv.27.nea,2019,13102,2241,169290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sho.27.67,2019,13054,2264,169261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sho.27.89a,2019,13130,2259,169260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sol.27.20-24,2020,13828,2474,169277,0.315,0.23,2600,1850,0.23,2600,NA,NA,1,NA
sol.27.4,2020,13743,2659,169278,0.4196,0.3019,42838,30828,0.2072,42838,NA,NA,1,NA
sol.27.7a,2020,13638,2473,169276,0.29,0.21,3500,2500,0.2,3500,NA,NA,2,NA
sol.27.7bc,2020,13627,2467,169269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sol.27.7d,2020,13495,2660,169274,1.24985742031553,0.890634741317483,0.919496202851247,0.656800432583368,0.570006234443189,0.919496202851247,NA,NA,1,NA
sol.27.7e,2020,13671,2472,169275,0.44,0.32,2900,2000,0.29,2900,NA,NA,2,NA
sol.27.7fg,2020,13755,2471,169273,0.543,0.388,3057,2184,0.251,3057,NA,NA,1,NA
sol.27.7h-k,2020,13682,2468,169270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sol.27.8ab,2020,13723,2470,169272,0.6,0.43,10600,7600,0.33,10600,NA,NA,2,NA
sol.27.8c9a,2019,12880,2229,169271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spr.27.22-32,2020,13379,2506,169279,0.63,0.45,570000,410000,0.31,570000,NA,NA,1,NA
spr.27.3a4,2020,13322,2475,197909,NA,NA,125000,94000,NA,NA,NA,NA,0,NA
spr.27.67a-cf-k,2019,10347,2297,169280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spr.27.7de,2020,13328,2647,169281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
syc.27.3a47d,2019,13103,2237,169284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
syc.27.67a-ce-j,2019,13047,2240,169287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
syc.27.8abd,2019,13120,2239,169286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
syc.27.8c9a,2019,13128,2238,169285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
syt.27.67,2019,13109,2265,169288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
trs.27.22-32,2019,12866,2242,169291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tsu.27.nea,2020,13504,2557,169292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tur.27.22-32,2018,9401,1749,169293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tur.27.3a,2020,13756,2661,169294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tur.27.4,2020,13708,2617,169295,0.61,0.47,4163,2974,0.36,6353,NA,NA,1,NA
usk.27.1-2,2019,12740,2244,169296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
usk.27.12ac,2019,12749,2246,169298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
usk.27.3a45b6a7-912b,2019,12766,2247,169299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
usk.27.5a14,2019,12966,2245,169297,NA,NA,6240,4460,NA,6240,NA,NA,3,NA
usk.27.6b,2020,13456,2518,169300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
whb.27.1-91214,2020,13880,2519,169301,0.88,0.53,2250000,1500000,0.32,2250000,NA,NA,1,NA
whg.27.3a,2019,11499,2278,169306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
whg.27.47d,2020,13525,2643,169302,0.458,0.33,166708,119970,0.172,166708,NA,NA,0,NA
whg.27.6a,2020,13759,2631,169308,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
