StockKeyLabel,AssessmentYear,AssessmentKey,StockDatabaseID,StockKey,Blim,RecruitmentAge,FAge,Bpa,RecruitmentLength,FLim,FMSY,MSYBtrigger,Fpa,Fmanagement,Bmanagement,FLength,Fcap,ConfidenceIntervalDefinition
pok.27.5b,2021,16888,2844,169239,29571,3,4-8,41400,,0.7,0.3,41400,0.3,,,,,0.95
pol.27.3a4,2021,14279,2821,169192,,,,,,,,,,,,,,NA
pol.27.67,2021,16701,2746,169191,,,,,,,,,,,,,,NA
pol.27.89a,2021,14481,2745,169190,,,,,,,,,,,,,,NA
pra.27.1-2,2021,16899,2717,169177,0.3,,,,,1.7,1,0.5,,,,,,0.8
pra.27.3a4a,2021,14071,2863,169179,6300,0,1-3,9900,,1,0.6,9900,0.62,0.59,9900,,,90%
pra.27.4a,2021,16904,2862,169178,,,,,,,,,,,,,,NA
raj.27.1012,2021,15635,2852,169197,,,,,,,,,,,,,,95%
raj.27.3a47d,2021,15655,2785,169194,,,,,,,,,,,,,,NA
reb.2127.dp,2021,16818,2834,169264,0.910842139690177,5,,1.27420134747356,,0.057,0.141404449956357,1.27420134747356,0.141404449956357,,,,,NA
reb.2127.sp,2021,16812,2835,169266,,,,,,,,,,,,,,NA
reb.27.14b,2021,14259,2888,169265,,,,,,,,,,,,,,95% confidence intervals
reb.27.5a14,2021,14260,2833,169263,,,,,,,,,,,,,,95%
reg.27.561214,2021,15623,2836,169267,160000,5,9-19,220000,,0.226,0.097,220000,0.163,0.097,220000,,,NA
rjc.27.3a47d,2021,16689,2789,169203,,,,,,,,,,,,,,NA
rjh.27.4a6,2021,15639,2791,169212,,,,,,,,,,,,,,95%
rjh.27.4c7d,2021,15669,2790,169213,,,,,,,,,,,,,,95%
rjm.27.3a47d,2021,16733,2786,169218,,,,,,,,,,,,,,NA
rjn.27.3a4,2021,16702,2792,169223,,,,,,,,,,,,,,NA
san.27.6a,2021,14055,2718,169253,,,,,,,,,,,,,,NA
san.sa.1r,2021,14067,2696,169246,110000,0,1-2,145000,,,,,,,,,0.49,90%
san.sa.2r,2021,14068,2697,169247,56000,0,1-2,84000,,,,,,,,,0.44,90%
san.sa.3r,2021,14069,2698,169248,80000,0,1-2,129000,,,,,,,,,0.29,90%
san.sa.4,2021,14070,2699,169249,48000,0,1-2,102000,,,,,,,,,0.15,90%
